34.869377 -89.7695793
script.js:115 34.9918587 -90.0022958
script.js:115 34.8461085 -89.85784520000001
script.js:115 34.8461085 -89.85784520000001
script.js:115 34.9939768 -90.0082795
script.js:115 34.9939768 -90.0082795
script.js:115 34.7966069 -90.0303682
script.js:115 34.6990804 -89.7226863
script.js:115 34.8417524 -89.988866
script.js:115 35.014974 -89.77335699999999
script.js:115 35.014974 -89.77335699999999
script.js:115 34.7923781 -89.73436389999999
script.js:115 35.0628121 -90.02004769999999
script.js:115 34.8074178 -90.1863723
script.js:115 34.8530895 -90.24241789999999
script.js:115 34.8723179 -89.6906396
script.js:115 34.217849 -89.94714049999999
script.js:115 34.7780468 -89.8326183
script.js:115 34.9377544 -90.11540649999999
script.js:115 34.7733564 -89.85533389999999
script.js:115 34.6408856 -90.3563485
script.js:115 34.89108909999999 -90.0380516
script.js:115 34.939606 -89.95708979999999
script.js:115 34.8231587 -90.0778539
script.js:115 34.82700519999999 -89.9106982
script.js:115 34.9909381 -90.09391839999999
script.js:115 33.602085 -86.10559049999999
script.js:115 35.0639968 -89.9885799
script.js:115 34.896551 -89.9175618
script.js:115 34.8751631 -89.91422589999999
script.js:115 34.9168749 -90.0666808
script.js:115 34.82352710000001 -90.1482248
script.js:115 34.7292503 -90.00449909999999
script.js:115 34.83822 -89.9152301
script.js:115 31.8855163 -90.09496829999999
script.js:115 34.8178272 -89.9957972
script.js:115 34.810949 -90.0005817
script.js:115 34.9324994 -89.74468379999999
script.js:115 34.6418811 -90.1250814
script.js:115 35.1625742 -90.0061673
script.js:115 34.9581642 -89.6095794
script.js:115 34.9285177 -89.6528725
script.js:115 34.853872 -89.6645412
script.js:115 34.853872 -89.6645412
script.js:115 34.7128069 -89.7271657
script.js:115 34.4368039 -89.91443919999999
script.js:115 34.7349474 -89.7218611
script.js:115 34.8188941 -90.02431659999999
script.js:115 34.8188941 -90.02431659999999
script.js:115 35.0124888 -90.0955231
script.js:115 34.97821649999999 -89.9674419
script.js:115 34.7776532 -90.0233052
script.js:115 34.8750604 -90.08869039999999
script.js:115 34.359424 -89.824799
script.js:115 34.8723179 -89.6906396
script.js:115 34.6802833 -89.96573599999999
script.js:115 34.9717352 -89.8415449
script.js:115 34.9856568 -90.01678919999999
script.js:115 34.8022308 -89.81127149999999
script.js:115 34.7406691 -90.0288281
script.js:115 34.9911348 -89.94389579999999
script.js:115 34.8663756 -90.1420119
script.js:115 34.8823847 -90.112424
script.js:115 34.8588629 -90.035765
script.js:115 34.8588629 -90.035765
script.js:115 34.8588629 -90.035765
script.js:115 34.9037879 -90.0169665
script.js:115 35.2082505 -89.8678449
script.js:115 34.8453521 -89.7674113
script.js:115 34.907867 -90.036912
script.js:115 34.7932261 -89.9328723
script.js:115 34.89759859999999 -89.98629729999999
script.js:115 34.6881819 -90.3836089
script.js:115 34.8171024 -90.03493739999999
script.js:115 34.973488 -89.83140089999999
script.js:115 35.0663673 -89.76201640000001
script.js:115 34.9069684 -90.0002401
script.js:115 34.8243375 -89.98018259999999
script.js:115 34.84478989999999 -89.976433
script.js:115 34.8255256 -89.93704849999999
script.js:115 34.8446121 -89.7951336
script.js:115 34.4404902 -89.9213363
script.js:115 34.699095 -90.1268049
script.js:115 35.2525178 -88.9964988
script.js:115 34.8228993 -89.97393439999999
script.js:115 34.7076462 -90.11658179999999
script.js:115 34.7076462 -90.11658179999999
script.js:115 34.8762457 -89.91561999999999
script.js:115 34.7481705 -89.98351439999999
script.js:115 34.9046428 -90.01566389999999
script.js:115 34.699198 -89.591939
script.js:115 35.144805 -90.0065522
script.js:115 34.5284989 -89.994057
script.js:115 34.5284989 -89.994057
script.js:115 35.1576672 -89.7179451
script.js:115 34.7062536 -89.6905593
script.js:115 34.8555342 -89.93409229999999
script.js:115 34.88212 -89.97661099999999
script.js:115 34.6771715 -89.8730307
script.js:115 34.6498387 -89.6816319
script.js:115 34.8004668 -90.02243220000001
script.js:115 34.90514539999999 -90.036677
script.js:115 34.517541 -89.6837786
script.js:115 34.808639 -90.16545359999999
script.js:115 34.5976026 -89.9552356
script.js:115 34.8990238 -90.0594528
script.js:115 34.8903186 -90.0628567
script.js:115 34.9910214 -89.9869396
script.js:115 33.5268153 -88.43108149999999
script.js:115 34.89070299999999 -90.0527654
script.js:115 34.8168571 -90.0092355
script.js:115 34.9538486 -90.0190858
script.js:115 34.8470579 -90.0396274
script.js:115 34.810914 -89.95830079999999
script.js:115 34.8104543 -90.00947939999999
script.js:115 34.8246293 -89.9968758
script.js:115 34.948991 -90.12465139999999
script.js:115 34.8142808 -89.8033608
script.js:115 34.8460967 -90.18722679999999
script.js:115 35.3843767 -89.9801418
script.js:115 34.7946391 -90.02738079999999
script.js:115 34.062643 -89.95370299999999
script.js:115 45.7313484 -108.5967179
script.js:115 33.7346365 -90.7316194
script.js:115 34.3710761 -89.4974352
script.js:115 34.957165 -90.0383866
script.js:115 34.8589538 -89.91502659999999
script.js:115 35.119033 -90.005771
script.js:115 34.9563223 -90.10624279999999
script.js:115 35.1485812 -90.0518955
script.js:115 34.8899719 -89.97289599999999
script.js:115 35.5174913 -86.5804473
script.js:115 34.9374991 -90.10898259999999
script.js:115 34.8544232 -89.93462939999999
script.js:115 34.9808986 -89.9246186
script.js:115 34.9526485 -90.1510088
script.js:115 34.8776493 -89.9874337
script.js:115 35.2548347 -89.5815799
script.js:115 34.9559571 -89.741478
script.js:115 34.9521307 -89.9593707
script.js:115 35.007812 -90.08542
script.js:115 34.9517026 -89.8684416
script.js:115 34.8542764 -90.0255369
script.js:115 34.7922429 -90.17246229999999
script.js:115 34.8168365 -89.9022143
script.js:115 34.76759670000001 -89.44868939999999
script.js:115 34.9505868 -89.5929519
script.js:115 34.6302958 -89.8636885
script.js:115 34.701823 -89.8748961
script.js:115 33.537597 -84.3737974
script.js:115 35.1167559 -89.9870842
script.js:115 34.8818799 -89.9428999
script.js:115 34.8818799 -89.9428999
script.js:115 34.9237764 -89.9130608
